V1,V2
2006-01-01,0
2006-01-02,0
2006-01-03,0
2006-01-04,0
2006-01-05,0.05
2006-01-06,0.8
2006-01-07,0
2006-01-08,0
2006-01-09,0
2006-01-10,0
2006-01-11,0
2006-01-12,0
2006-01-13,0
2006-01-14,0
2006-01-15,0
2006-01-16,0
2006-01-17,2.8
2006-01-18,7.5
2006-01-19,1.8
2006-01-20,0
2006-01-21,2
2006-01-22,0
2006-01-23,0
2006-01-24,0
2006-01-25,0
2006-01-26,0
2006-01-27,0
2006-01-28,5
2006-01-29,0.05
2006-01-30,0
2006-01-31,0
2006-02-01,0
2006-02-02,0
2006-02-03,0
2006-02-04,0
2006-02-05,0
2006-02-06,0
2006-02-07,0
2006-02-08,0
2006-02-09,0
2006-02-10,0
2006-02-11,0
2006-02-12,0
2006-02-13,0
2006-02-14,3.5
2006-02-15,11.5
2006-02-16,0
2006-02-17,0
2006-02-18,42.2
2006-02-19,10.5
2006-02-20,0
2006-02-21,0
2006-02-22,0
2006-02-23,0
2006-02-24,0
2006-02-25,3
2006-02-26,8
2006-02-27,1
2006-02-28,22
2006-03-01,1
2006-03-02,0
2006-03-03,0
2006-03-04,6.7
2006-03-05,14.4
2006-03-06,0.05
2006-03-07,8.5
2006-03-08,0
2006-03-09,0.05
2006-03-10,0
2006-03-11,0
2006-03-12,0.2
2006-03-13,0.7
2006-03-14,0.3
2006-03-15,0
2006-03-16,0
2006-03-17,0
2006-03-18,0
2006-03-19,0
2006-03-20,2.1
2006-03-21,4.3
2006-03-22,3.7
2006-03-23,11.5
2006-03-24,21
2006-03-25,25.9
2006-03-26,21.8
2006-03-27,11.3
2006-03-28,0
2006-03-29,0
2006-03-30,0
2006-03-31,0
2006-04-01,0.05
2006-04-02,0
2006-04-03,0.2
2006-04-04,0
2006-04-05,0
2006-04-06,0.1
2006-04-07,0
2006-04-08,0
2006-04-09,21.5
2006-04-10,16.6
2006-04-11,0
2006-04-12,0.9
2006-04-13,15
2006-04-14,4.5
2006-04-15,16.5
2006-04-16,0
2006-04-17,0
2006-04-18,0
2006-04-19,0
2006-04-20,0
2006-04-21,0
2006-04-22,0.1
2006-04-23,10.5
2006-04-24,0.5
2006-04-25,2.5
2006-04-26,21.7
2006-04-27,21.5
2006-04-28,14.5
2006-04-29,0.05
2006-04-30,0
2006-05-01,1
2006-05-02,5.5
2006-05-03,0
2006-05-04,0.5
2006-05-05,5.5
2006-05-06,2
2006-05-07,0.5
2006-05-08,0
2006-05-09,0
2006-05-10,0
2006-05-11,0
2006-05-12,0
2006-05-13,0
2006-05-14,0
2006-05-15,0.1
2006-05-16,2.4
2006-05-17,87.5
2006-05-18,169.5
2006-05-19,0
2006-05-20,0
2006-05-21,0.4
2006-05-22,47.2
2006-05-23,89.3
2006-05-24,11.4
2006-05-25,0.5
2006-05-26,0.05
2006-05-27,11.3
2006-05-28,18.6
2006-05-29,5.6
2006-05-30,27
2006-05-31,1.6
2006-06-01,15
2006-06-02,3
2006-06-03,0.5
2006-06-04,7.5
2006-06-05,0.5
2006-06-06,3.5
2006-06-07,1.5
2006-06-08,12.5
2006-06-09,9
2006-06-10,5.5
2006-06-11,0
2006-06-12,23
2006-06-13,28.5
2006-06-14,1.5
2006-06-15,4.5
2006-06-16,7.5
2006-06-17,0
2006-06-18,0.05
2006-06-19,0
2006-06-20,0
2006-06-21,0
2006-06-22,0.2
2006-06-23,0
2006-06-24,0
2006-06-25,0
2006-06-26,0
2006-06-27,0
2006-06-28,1.8
2006-06-29,0
2006-06-30,0
2006-07-01,0
2006-07-02,0
2006-07-03,0
2006-07-04,0
2006-07-05,0
2006-07-06,0
2006-07-07,0
2006-07-08,0
2006-07-09,0
2006-07-10,0
2006-07-11,0
2006-07-12,0
2006-07-13,2.5
2006-07-14,31
2006-07-15,116.5
2006-07-16,0.5
2006-07-17,0.05
2006-07-18,0
2006-07-19,0
2006-07-20,0
2006-07-21,0
2006-07-22,0
2006-07-23,0
2006-07-24,0
2006-07-25,70.5
2006-07-26,16
2006-07-27,0.5
2006-07-28,26
2006-07-29,0
2006-07-30,0
2006-07-31,0
2006-08-01,0
2006-08-02,0
2006-08-03,10.5
2006-08-04,34
2006-08-05,0
2006-08-06,0
2006-08-07,0
2006-08-08,0.2
2006-08-09,0
2006-08-10,0
2006-08-11,0
2006-08-12,0
2006-08-13,0
2006-08-14,0
2006-08-15,0
2006-08-16,0
2006-08-17,0
2006-08-18,0.9
2006-08-19,0
2006-08-20,1
2006-08-21,0
2006-08-22,0.4
2006-08-23,0
2006-08-24,23.6
2006-08-25,2
2006-08-26,0
2006-08-27,0
2006-08-28,0
2006-08-29,0
2006-08-30,0
2006-08-31,0
2006-09-01,0
2006-09-02,0
2006-09-03,0
2006-09-04,0
2006-09-05,0
2006-09-06,2.8
2006-09-07,0
2006-09-08,1.2
2006-09-09,3.8
2006-09-10,0
2006-09-11,2.3
2006-09-12,6.9
2006-09-13,0
2006-09-14,0
2006-09-15,0
2006-09-16,0.1
2006-09-17,0.1
2006-09-18,0
2006-09-19,0
2006-09-20,0
2006-09-21,0
2006-09-22,0
2006-09-23,0
2006-09-24,0
2006-09-25,0
2006-09-26,0
2006-09-27,0
2006-09-28,0
2006-09-29,0
2006-09-30,0
2006-10-01,0
2006-10-02,0
2006-10-03,0
2006-10-04,0
2006-10-05,0
2006-10-06,0
2006-10-07,0
2006-10-08,0
2006-10-09,0
2006-10-10,0
2006-10-11,0
2006-10-12,0
2006-10-13,0
2006-10-14,0
2006-10-15,0
2006-10-16,0
2006-10-17,0
2006-10-18,0
2006-10-19,0
2006-10-20,0
2006-10-21,0
2006-10-22,0
2006-10-23,0
2006-10-24,0
2006-10-25,0
2006-10-26,0
2006-10-27,0
2006-10-28,0
2006-10-29,0
2006-10-30,0
2006-10-31,0
2006-11-01,0
2006-11-02,0
2006-11-03,0
2006-11-04,0
2006-11-05,0
2006-11-06,0
2006-11-07,0
2006-11-08,0
2006-11-09,0
2006-11-10,0
2006-11-11,0
2006-11-12,0
2006-11-13,0
2006-11-14,0.2
2006-11-15,0.05
2006-11-16,0.05
2006-11-17,0
2006-11-18,22
2006-11-19,1
2006-11-20,0.05
2006-11-21,43
2006-11-22,14
2006-11-23,0
2006-11-24,0
2006-11-25,0
2006-11-26,4
2006-11-27,0
2006-11-28,17.5
2006-11-29,0
2006-11-30,0
