"","V1","V2"
"1",2009-01-01,"0"
"2",2009-01-02,"0"
"3",2009-01-03,"0"
"4",2009-01-04,"0"
"5",2009-01-05,"0.05"
"6",2009-01-06,"0"
"7",2009-01-07,"0"
"8",2009-01-08,"0"
"9",2009-01-09,"0"
"10",2009-01-10,"0"
"11",2009-01-11,"0"
"12",2009-01-12,"0"
"13",2009-01-13,"0"
"14",2009-01-14,"0"
"15",2009-01-15,"0"
"16",2009-01-16,"0"
"17",2009-01-17,"0"
"18",2009-01-18,"0"
"19",2009-01-19,"0"
"20",2009-01-20,"0"
"21",2009-01-21,"0"
"22",2009-01-22,"0"
"23",2009-01-23,"0"
"24",2009-01-24,"0"
"25",2009-01-25,"0"
"26",2009-01-26,"0.05"
"27",2009-01-27,"3.1"
"28",2009-01-28,"0"
"29",2009-01-29,"0"
"30",2009-01-30,"0"
"31",2009-01-31,"0"
"32",2009-02-01,"0"
"33",2009-02-02,"0"
"34",2009-02-03,"0"
"35",2009-02-04,"0"
"36",2009-02-05,"0"
"37",2009-02-06,"0"
"38",2009-02-07,"0"
"39",2009-02-08,"0"
"40",2009-02-09,"0"
"41",2009-02-10,"0"
"42",2009-02-11,"0"
"43",2009-02-12,"0"
"44",2009-02-13,"0"
"45",2009-02-14,"0.1"
"46",2009-02-15,"0.5"
"47",2009-02-16,"0.2"
"48",2009-02-17,"0"
"49",2009-02-18,"0.05"
"50",2009-02-19,"15.9"
"51",2009-02-20,"0"
"52",2009-02-21,"0"
"53",2009-02-22,"0"
"54",2009-02-23,"0"
"55",2009-02-24,"0.4"
"56",2009-02-25,"0"
"57",2009-02-26,"0"
"58",2009-02-27,"0"
"59",2009-02-28,"0.5"
"63",2009-03-01,"4.0"
"64",2009-03-02,"0"
"65",2009-03-03,"0.05"
"66",2009-03-04,"0"
"67",2009-03-05,"11.0"
"68",2009-03-06,"31.0"
"69",2009-03-07,"11.2"
"70",2009-03-08,"2.8"
"71",2009-03-09,"5.5"
"72",2009-03-10,"0"
"73",2009-03-11,"0"
"74",2009-03-12,"0"
"75",2009-03-13,"8.0"
"76",2009-03-14,"1.3"
"77",2009-03-15,"0"
"78",2009-03-16,"0"
"79",2009-03-17,"0"
"80",2009-03-18,"0"
"81",2009-03-19,"0"
"82",2009-03-20,"0"
"83",2009-03-21,"0"
"84",2009-03-22,"0"
"85",2009-03-23,"0"
"86",2009-03-24,"20.0"
"87",2009-03-25,"0"
"88",2009-03-26,"0.1"
"89",2009-03-27,"2.3"
"90",2009-03-28,"0.6"
"91",2009-03-29,"19.9"
"92",2009-03-30,"0"
"93",2009-03-31,"0"
"94",2009-04-01,"0"
"95",2009-04-02,"0"
"96",2009-04-03,"0"
"97",2009-04-04,"0"
"98",2009-04-05,"8.8"
"99",2009-04-06,"0"
"100",2009-04-07,"3.9"
"101",2009-04-08,"0"
"102",2009-04-09,"0"
"103",2009-04-10,"0"
"104",2009-04-11,"0"
"105",2009-04-12,"0"
"106",2009-04-13,"12.2"
"107",2009-04-14,"0"
"108",2009-04-15,"0"
"109",2009-04-16,"7.4"
"110",2009-04-17,"0.7"
"111",2009-04-18,"0.05"
"112",2009-04-19,"38.1"
"113",2009-04-20,"102.0"
"114",2009-04-21,"0.05"
"115",2009-04-22,"0.2"
"116",2009-04-23,"0"
"117",2009-04-24,"0"
"118",2009-04-25,"6.2"
"119",2009-04-26,"0.6"
"120",2009-04-27,"0"
"121",2009-04-28,"0"
"122",2009-04-29,"0"
"123",2009-04-30,"0"
"125",2009-05-01,"0"
"126",2009-05-02,"0"
"127",2009-05-03,"0.05"
"128",2009-05-04,"0"
"129",2009-05-05,"0"
"130",2009-05-06,"0"
"131",2009-05-07,"0"
"132",2009-05-08,"0"
"133",2009-05-09,"0"
"134",2009-05-10,"0"
"135",2009-05-11,"0"
"136",2009-05-12,"0"
"137",2009-05-13,"0"
"138",2009-05-14,"0"
"139",2009-05-15,"0"
"140",2009-05-16,"0"
"141",2009-05-17,"0.05"
"142",2009-05-18,"1.2"
"143",2009-05-19,"0.4"
"144",2009-05-20,"0"
"145",2009-05-21,"0.2"
"146",2009-05-22,"0"
"147",2009-05-23,"0"
"148",2009-05-24,"0"
"149",2009-05-25,"0"
"150",2009-05-26,"7.4"
"151",2009-05-27,"19.5"
"152",2009-05-28,"2.3"
"153",2009-05-29,"0"
"154",2009-05-30,"0"
"155",2009-05-31,"0"
"156",2009-06-01,"0"
"157",2009-06-02,"0"
"158",2009-06-03,"36.1"
"159",2009-06-04,"19.0"
"160",2009-06-05,"0"
"161",2009-06-06,"0"
"162",2009-06-07,"0"
"163",2009-06-08,"0"
"164",2009-06-09,"0"
"165",2009-06-10,"0"
"166",2009-06-11,"3.4"
"167",2009-06-12,"0"
"168",2009-06-13,"2.7"
"169",2009-06-14,"0.6"
"170",2009-06-15,"8.5"
"171",2009-06-16,"0"
"172",2009-06-17,"0"
"173",2009-06-18,"0"
"174",2009-06-19,"0"
"175",2009-06-20,"1.0"
"176",2009-06-21,"28.5"
"177",2009-06-22,"82.4"
"178",2009-06-23,"1.6"
"179",2009-06-24,"0"
"180",2009-06-25,"4.4"
"181",2009-06-26,"0.8"
"182",2009-06-27,"1.6"
"183",2009-06-28,"0.05"
"184",2009-06-29,"0"
"185",2009-06-30,"0"
"187",2009-07-01,"0"
"188",2009-07-02,"0"
"189",2009-07-03,"1.4"
"190",2009-07-04,"0"
"191",2009-07-05,"0"
"192",2009-07-06,"0"
"193",2009-07-07,"0"
"194",2009-07-08,"0"
"195",2009-07-09,"0"
"196",2009-07-10,"0"
"197",2009-07-11,"0"
"198",2009-07-12,"0"
"199",2009-07-13,"5.8"
"200",2009-07-14,"68.0"
"201",2009-07-15,"0.05"
"202",2009-07-16,"0"
"203",2009-07-17,"0"
"204",2009-07-18,"0.2"
"205",2009-07-19,"0"
"206",2009-07-20,"0"
"207",2009-07-21,"0"
"208",2009-07-22,"0"
"209",2009-07-23,"0"
"210",2009-07-24,"1.0"
"211",2009-07-25,"0"
"212",2009-07-26,"0"
"213",2009-07-27,"0"
"214",2009-07-28,"0.8"
"215",2009-07-29,"0"
"216",2009-07-30,"0"
"217",2009-07-31,"0"
"218",2009-08-01,"0"
"219",2009-08-02,"0"
"220",2009-08-03,"0.4"
"221",2009-08-04,"1.4"
"222",2009-08-05,"0"
"223",2009-08-06,"14.0"
"224",2009-08-07,"5.9"
"225",2009-08-08,"7.9"
"226",2009-08-09,"56.5"
"227",2009-08-10,"18.0"
"228",2009-08-11,"0"
"229",2009-08-12,"30.5"
"230",2009-08-13,"0"
"231",2009-08-14,"0"
"232",2009-08-15,"0"
"233",2009-08-16,"0"
"234",2009-08-17,"0"
"235",2009-08-18,"0"
"236",2009-08-19,"0"
"237",2009-08-20,"2.2"
"238",2009-08-21,"0"
"239",2009-08-22,"0"
"240",2009-08-23,"0"
"241",2009-08-24,"0"
"242",2009-08-25,"0"
"243",2009-08-26,"0"
"244",2009-08-27,"0"
"245",2009-08-28,"0"
"246",2009-08-29,"0"
"247",2009-08-30,"0"
"248",2009-08-31,"0"
"249",2009-09-01,"0"
"250",2009-09-02,"0"
"251",2009-09-03,"0"
"252",2009-09-04,"0"
"253",2009-09-05,"0"
"254",2009-09-06,"0"
"255",2009-09-07,"0"
"256",2009-09-08,"0"
"257",2009-09-09,"0"
"258",2009-09-10,"0"
"259",2009-09-11,"0"
"260",2009-09-12,"0"
"261",2009-09-13,"1.5"
"262",2009-09-14,"20.5"
"263",2009-09-15,"2.2"
"264",2009-09-16,"0"
"265",2009-09-17,"0"
"266",2009-09-18,"0"
"267",2009-09-19,"0.05"
"268",2009-09-20,"0"
